"yr","mfr","mfr name","bidx","vid","cfg","carline","car/truck","cid","police","rhp","ec1","ec2","ec3","ec4","ec5","evc","trns","drv","od","etw","cmp","axle","n/v","a/c","dhp","sil","prc","prp","tnum","fuel","C/H","avcd","wt","hc","co","co2","nox","pm","mpg","target-a","target-b","target-c","set-a","set-b","set-c","engine code","eng family","valves/cyl","mfr coastdown time"
1998,20,"DaimlerChrysler",10,"D6B2-1202",2,"B1500 VAN 2WD","T",239,"N",175,20,99,"","","","102","L3","R","1",4500,9.1,3.55,42.6,"Y",16.9,"1",2,31,1006391,6,"C","","",.161,1.6,547,.29,"",16.2,"","","","","","","FA-101","WCRXT03.95B2",2,13.04
1998,20,"DaimlerChrysler",10,"D6B2-1202",2,"B1500 VAN 2WD","T",239,"N",175,20,99,"","","","102","L3","R","1",4500,9.1,3.55,42.6,"Y",16.9,"1",2,31,1006393,6,"C","","",.152,1.66,527,.32,"",16.8,"","","","","","","FA-101","WCRXT03.95B2",2,13.04
1998,20,"DaimlerChrysler",10,"D6B2-1202",2,"B1500 VAN 2WD","T",239,"N",175,20,99,"","","","102","L3","R","1",4500,9.1,3.55,42.6,"Y",16.9,"1",2,31,1008523,6,"C","","",.243,2.85,530,.32,"",16.6,"","","","","","","FA-101","WCRXT03.95B2",2,13.04
1998,20,"DaimlerChrysler",10,"D6B2-1202",2,"B1500 VAN 2WD","T",239,"N",175,20,99,"","","","102","L3","R","1",4500,9.1,3.55,42.6,"Y",16.9,"1",3,31,1006392,6,"H","","",.108,1.67,418,"","",21.1,"","","","","","","FA-101","WCRXT03.95B2",2,13.04
1998,20,"DaimlerChrysler",10,"D6B2-1202",2,"B1500 VAN 2WD","T",239,"N",175,20,99,"","","","102","L3","R","1",4500,9.1,3.55,42.6,"Y",16.9,"1",3,31,1006394,6,"H","","",.094,1.59,405,"","",21.8,"","","","","","","FA-101","WCRXT03.95B2",2,13.04
1998,20,"DaimlerChrysler",10,"D6B2-1202",2,"B1500 VAN 2WD","T",239,"N",175,20,99,"","","","102","L3","R","1",4500,9.1,3.55,42.6,"Y",16.9,"1",3,31,1008524,6,"H","","",.115,1.59,403,.65,"",21.9,"","","","","","","FA-101","WCRXT03.95B2",2,13.04
1998,20,"DaimlerChrysler",10,"P7N1-4043",0,"DAKOTA PICKUP 2WD","T",239,"N",175,20,99,"","","","102","L4","R","2",4000,9.1,3.55,30.8,"Y",13.1,"1",2,31,1005015,6,"C","","",.138,1.34,485,.15,"",18.2,"","","","","","","FA-100","WCRXT03.92B1",2,14.21
1998,20,"DaimlerChrysler",10,"P7N1-4043",0,"DAKOTA PICKUP 2WD","T",239,"N",175,20,99,"","","","102","L4","R","2",4000,9.1,3.55,30.8,"Y",13.1,"1",3,31,9000581,6,"H","","",.11,.82,338,.1,"",26.2,"","","","","","","FA-100","WCRXT03.92B1",2,14.21
1998,20,"DaimlerChrysler",10,"P7N1-4043",1,"DAKOTA PICKUP 2WD","T",239,"N",175,20,99,"","","","102","L4","R","2",4250,9.1,3.55,30.8,"Y",12.9,"1",2,31,1005013,6,"C","","",.16,1.19,497,.2,"",17.8,"","","","","","","FA-100","WCRXT03.92B1",2,14.98
1998,20,"DaimlerChrysler",10,"P7N1-4043",1,"DAKOTA PICKUP 2WD","T",239,"N",175,20,99,"","","","102","L4","R","2",4250,9.1,3.55,30.8,"Y",12.9,"1",3,31,1005014,6,"H","","",.084,.51,331,.07,"",26.8,"","","","","","","FA-100","WCRXT03.92B1",2,14.98
1998,20,"DaimlerChrysler",10,"P6N1-4998",10,"DAKOTA PICKUP 2WD","T",239,"N",180,20,99,"","","","102","M5","R","2",3875,9.1,3.21,31.9,"Y",12.8,"2",2,31,9000600,6,"C","G",.67,.149,1.65,484,.19,"",18.3,"","","","","","","FM-100","WCRXT03.92B1","",14.63
1998,20,"DaimlerChrysler",10,"P6N1-4998",10,"DAKOTA PICKUP 2WD","T",239,"N",180,20,99,"","","","102","M5","R","2",3875,9.1,3.21,31.9,"Y",12.8,"2",3,31,9000601,6,"H","G",.67,.057,.38,311,.09,"",28.5,"","","","","","","FM-100","WCRXT03.92B1","",14.63
1998,20,"DaimlerChrysler",10,"P6N1-4998",11,"DAKOTA PICKUP 2WD","T",239,"N",180,20,99,"","","","102","M5","R","2",3875,9.1,3.21,31.9,"Y",12.8,"3",2,31,9000583,6,"C","G",.33,.196,2.38,526,.16,"",16.8,"","","","","","","FM-100","WCRXT03.92B1","",""
1998,20,"DaimlerChrysler",10,"P6N1-4998",11,"DAKOTA PICKUP 2WD","T",239,"N",180,20,99,"","","","102","M5","R","2",3875,9.1,3.21,31.9,"Y",12.8,"3",3,31,9000584,6,"H","G",.33,.06,.39,317,.07,"",28,"","","","","","","FM-100","WCRXT03.92B1","",""
1998,20,"DaimlerChrysler",10,"V7N5-4429",0,"DAKOTA PICKUP 4WD","T",239,"N",175,8,20,99,"","","102","L4","4","2",4500,9.1,3.92,30.8,"Y",15,"1",3,1,1005021,6,"H","","",.04,.07,388,.03,"",22.9,"","","","","","","FA-200","WCRXT03.92B1",2,12.9
